SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
272,KA,Karnataka,KA_Belagavi,Belagavi,394,75,313,6,0,0,0,0,0,,
274,KA,Karnataka,KA_Bengaluru Rural,Bengaluru Rural,218,166,46,6,0,0,0,0,0,,
273,KA,Karnataka,KA_Bengaluru Urban,Bengaluru Urban,9580,8166,1268,145,1,0,0,0,0,,
275,KA,Karnataka,KA_Bidar,Bidar,755,186,532,37,0,0,0,0,0,,
276,KA,Karnataka,KA_Chamarajanagara,Chamarajanagara,102,101,1,0,0,0,0,0,0,,
277,KA,Karnataka,KA_Chikkaballapura,Chikkaballapura,258,79,172,6,1,0,0,0,0,,
278,KA,Karnataka,KA_Chikkamagaluru,Chikkamagaluru,94,42,51,1,0,0,0,0,0,,
279,KA,Karnataka,KA_Chitradurga,Chitradurga,83,35,48,0,0,0,0,0,0,,
280,KA,Karnataka,KA_Dakshina Kannada,Dakshina Kannada,1234,663,549,20,2,0,0,0,0,,
281,KA,Karnataka,KA_Davanagere,Davanagere,356,44,301,11,0,0,0,0,0,,
282,KA,Karnataka,KA_Dharwad,Dharwad,555,311,232,12,0,0,0,0,0,,
283,KA,Karnataka,KA_Gadag,Gadag,210,122,84,4,0,0,0,0,0,,
284,KA,Karnataka,KA_Hassan,Hassan,492,231,253,8,0,0,0,0,0,,
285,KA,Karnataka,KA_Haveri,Haveri,167,128,37,2,0,0,0,0,0,,
286,KA,Karnataka,KA_Kalaburagi,Kalaburagi,1646,378,1241,27,0,0,0,0,0,,
287,KA,Karnataka,KA_Kodagu,Kodagu,76,73,3,0,0,0,0,0,0,,
288,KA,Karnataka,KA_Kolar,Kolar,174,100,72,2,0,0,0,0,0,,
289,KA,Karnataka,KA_Koppal,Koppal,130,51,77,2,0,0,0,0,0,,
290,KA,Karnataka,KA_Mandya,Mandya,518,151,367,0,0,0,0,0,0,,
291,KA,Karnataka,KA_Mysuru,Mysuru,434,179,250,5,0,0,0,0,0,,
0,KA,Karnataka,KA_Other State,Other State,36,1,32,3,0,0,0,0,0,,
292,KA,Karnataka,KA_Raichur,Raichur,569,144,422,3,0,0,0,0,0,,
293,KA,Karnataka,KA_Ramanagara,Ramanagara,233,152,76,5,0,0,0,0,0,,
294,KA,Karnataka,KA_Shivamogga,Shivamogga,261,140,117,4,0,0,0,0,0,,
295,KA,Karnataka,KA_Tumakuru,Tumakuru,221,153,61,7,0,0,0,0,0,,
296,KA,Karnataka,KA_Udupi,Udupi,1321,193,1125,3,0,0,0,0,0,,
297,KA,Karnataka,KA_Uttara Kannada,Uttara Kannada,354,194,159,1,0,0,0,0,0,,
298,KA,Karnataka,KA_Vijayapura,Vijayapura,558,143,404,11,0,0,0,0,0,,
299,KA,Karnataka,KA_Yadgir,Yadgir,971,103,867,1,0,0,0,0,0,,
0,KL,Kerala,KL_Other State,Other State,0,0,0,0,0,0,0,0,0,,
300,KL,Kerala,KL_Alappuzha,Alappuzha,378,196,181,1,0,0,0,0,0,,
301,KL,Kerala,KL_Ernakulam,Ernakulam,316,184,130,1,1,0,0,0,0,,
302,KL,Kerala,KL_Idukki,Idukki,127,53,74,0,0,0,0,0,0,,
303,KL,Kerala,KL_Kannur,Kannur,589,258,326,5,0,0,0,0,0,,
304,KL,Kerala,KL_Kasaragod,Kasaragod,516,126,390,0,0,0,0,0,0,,
305,KL,Kerala,KL_Kollam,Kollam,405,174,229,2,0,0,0,0,0,,
306,KL,Kerala,KL_Kottayam,Kottayam,262,115,146,1,0,0,0,0,0,,
307,KL,Kerala,KL_Kozhikode,Kozhikode,317,113,202,2,0,0,0,0,0,,
308,KL,Kerala,KL_Malappuram,Malappuram,657,273,380,4,0,0,0,0,0,,
309,KL,Kerala,KL_Palakkad,Palakkad,636,205,429,1,1,0,0,0,0,,
310,KL,Kerala,KL_Pathanamthitta,Pathanamthitta,354,187,167,0,0,0,0,0,0,,
311,KL,Kerala,KL_Thiruvananthapuram,Thiruvananthapuram,284,107,172,5,0,0,0,0,0,,
312,KL,Kerala,KL_Thrissur,Thrissur,481,200,278,3,0,0,0,0,0,,
313,KL,Kerala,KL_Wayanad,Wayanad,108,37,70,1,0,0,0,0,0,,
314,LA,Ladakh,LA_Kargil,Kargil,714,91,623,0,0,0,0,0,0,,
315,LA,Ladakh,LA_Leh,Leh,291,87,203,1,0,0,0,0,0,,
316,LD,Lakshadweep,LD_Lakshadweep,Lakshadweep,0,0,0,0,0,0,0,0,0,,
369,MH,Maharashtra,MH_Ahmednagar,Ahmednagar,580,208,357,15,0,0,0,0,0,,
370,MH,Maharashtra,MH_Akola,Akola,1662,376,1199,86,1,0,0,0,0,,
371,MH,Maharashtra,MH_Amravati,Amravati,690,209,451,30,0,0,0,0,0,,
372,MH,Maharashtra,MH_Aurangabad,Aurangabad,6568,3486,2788,294,0,0,0,0,0,,
374,MH,Maharashtra,MH_Beed,Beed,142,44,95,3,0,0,0,0,0,,
373,MH,Maharashtra,MH_Bhandara,Bhandara,91,14,77,0,0,0,0,0,0,,
375,MH,Maharashtra,MH_Buldhana,Buldhana,318,136,169,13,0,0,0,0,0,,
376,MH,Maharashtra,MH_Chandrapur,Chandrapur,110,47,63,0,0,0,0,0,0,,
377,MH,Maharashtra,MH_Dhule,Dhule,1248,480,704,62,2,0,0,0,0,,
378,MH,Maharashtra,MH_Gadchiroli,Gadchiroli,73,12,60,1,0,0,0,0,0,,
379,MH,Maharashtra,MH_Gondia,Gondia,167,61,104,2,0,0,0,0,0,,
380,MH,Maharashtra,MH_Hingoli,Hingoli,294,43,250,1,0,0,0,0,0,,
381,MH,Maharashtra,MH_Jalgaon,Jalgaon,4236,1538,2420,278,0,0,0,0,0,,
382,MH,Maharashtra,MH_Jalna,Jalna,719,315,380,24,0,0,0,0,0,,
383,MH,Maharashtra,MH_Kolhapur,Kolhapur,920,176,732,12,0,0,0,0,0,,
384,MH,Maharashtra,MH_Latur,Latur,425,174,229,22,0,0,0,0,0,,
385,MH,Maharashtra,MH_Mumbai,Mumbai,84524,23732,55884,4899,9,0,0,0,0,,
386,MH,Maharashtra,MH_Mumbai Suburban,Mumbai Suburban,0,0,0,0,0,0,0,0,0,,
387,MH,Maharashtra,MH_Nagpur,Nagpur,1719,408,1296,15,0,0,0,0,0,,
388,MH,Maharashtra,MH_Nanded,Nanded,394,138,242,14,0,0,0,0,0,,
389,MH,Maharashtra,MH_Nandurbar,Nandurbar,197,105,83,9,0,0,0,0,0,,
390,MH,Maharashtra,MH_Nashik,Nashik,5216,2056,2935,225,0,0,0,0,0,,
391,MH,Maharashtra,MH_Osmanabad,Osmanabad,264,66,186,12,0,0,0,0,0,,
0,MH,Maharashtra,MH_Other State,Other State,133,108,0,25,0,0,0,0,0,,
392,MH,Maharashtra,MH_Palghar,Palghar,7470,4379,2965,126,0,0,0,0,0,,
393,MH,Maharashtra,MH_Parbhani,Parbhani,128,41,83,4,0,0,0,0,0,,
394,MH,Maharashtra,MH_Pune,Pune,28142,13864,13406,872,0,0,0,0,0,,
395,MH,Maharashtra,MH_Raigad,Raigad,5840,2991,2741,106,2,0,0,0,0,,
396,MH,Maharashtra,MH_Ratnagiri,Ratnagiri,712,214,471,27,0,0,0,0,0,,
397,MH,Maharashtra,MH_Sangli,Sangli,430,168,251,11,0,0,0,0,0,,
398,MH,Maharashtra,MH_Satara,Satara,1337,519,769,48,1,0,0,0,0,,
399,MH,Maharashtra,MH_Sindhudurg,Sindhudurg,246,69,172,5,0,0,0,0,0,,
400,MH,Maharashtra,MH_Solapur,Solapur,3214,1225,1692,296,1,0,0,0,0,,
401,MH,Maharashtra,MH_Thane,Thane,47935,28508,18156,1270,1,0,0,0,0,,
402,MH,Maharashtra,MH_Wardha,Wardha,17,3,13,1,0,0,0,0,0,,
403,MH,Maharashtra,MH_Washim,Washim,120,35,82,3,0,0,0,0,0,,
404,MH,Maharashtra,MH_Yavatmal,Yavatmal,338,92,235,11,0,0,0,0,0,,
421,ML,Meghalaya,ML_East Garo Hills,East Garo Hills,0,0,0,0,0,0,0,0,0,,
422,ML,Meghalaya,ML_East Jaintia Hills,East Jaintia Hills,1,1,0,0,0,0,0,0,0,,
423,ML,Meghalaya,ML_East Khasi Hills,East Khasi Hills,37,19,17,1,0,0,0,0,0,,
424,ML,Meghalaya,ML_North Garo Hills,North Garo Hills,1,0,1,0,0,0,0,0,0,,
425,ML,Meghalaya,ML_Ribhoi,Ribhoi,11,11,0,0,0,0,0,0,0,,
426,ML,Meghalaya,ML_South Garo Hills,South Garo Hills,0,0,0,0,0,0,0,0,0,,
427,ML,Meghalaya,ML_South West Garo Hills,South West Garo Hills,7,3,4,0,0,0,0,0,0,,
428,ML,Meghalaya,ML_South West Khasi Hills,South West Khasi Hills,0,0,0,0,0,0,0,0,0,,
429,ML,Meghalaya,ML_West Garo Hills,West Garo Hills,7,3,4,0,0,0,0,0,0,,
430,ML,Meghalaya,ML_West Jaintia Hills,West Jaintia Hills,5,0,5,0,0,0,0,0,0,,
431,ML,Meghalaya,ML_West Khasi Hills,West Khasi Hills,1,1,0,0,0,0,0,0,0,,
405,MN,Manipur,MN_Bishnupur,Bishnupur,81,23,58,0,0,0,0,0,0,,
406,MN,Manipur,MN_Chandel,Chandel,38,32,6,0,0,0,0,0,0,,
407,MN,Manipur,MN_Churachandpur,Churachandpur,140,82,58,0,0,0,0,0,0,,
408,MN,Manipur,MN_Imphal East,Imphal East,42,26,16,0,0,0,0,0,0,,
409,MN,Manipur,MN_Imphal West,Imphal West,97,18,79,0,0,0,0,0,0,,
410,MN,Manipur,MN_Jiribam,Jiribam,32,30,2,0,0,0,0,0,0,,
411,MN,Manipur,MN_Kakching,Kakching,93,49,44,0,0,0,0,0,0,,
412,MN,Manipur,MN_Kamjong,Kamjong,95,78,17,0,0,0,0,0,0,,
413,MN,Manipur,MN_Kangpokpi,Kangpokpi,155,136,19,0,0,0,0,0,0,,
414,MN,Manipur,MN_Noney,Noney,25,7,18,0,0,0,0,0,0,,
415,MN,Manipur,MN_Pherzawl,Pherzawl,32,17,15,0,0,0,0,0,0,,
416,MN,Manipur,MN_Senapati,Senapati,120,91,29,0,0,0,0,0,0,,
417,MN,Manipur,MN_Tamenglong,Tamenglong,180,148,32,0,0,0,0,0,0,,
418,MN,Manipur,MN_Tengnoupal,Tengnoupal,14,1,13,0,0,0,0,0,0,,
419,MN,Manipur,MN_Thoubal,Thoubal,59,32,27,0,0,0,0,0,0,,
420,MN,Manipur,MN_Ukhrul,Ukhrul,163,137,26,0,0,0,0,0,0,,
317,MP,Madhya Pradesh,MP_Agar Malwa,Agar Malwa,17,2,14,1,0,0,0,0,0,,
318,MP,Madhya Pradesh,MP_Alirajpur,Alirajpur,8,5,3,0,0,0,0,0,0,,
319,MP,Madhya Pradesh,MP_Anuppur,Anuppur,29,0,29,0,0,0,0,0,0,,
320,MP,Madhya Pradesh,MP_Ashoknagar,Ashoknagar,50,17,33,0,0,0,0,0,0,,
321,MP,Madhya Pradesh,MP_Balaghat,Balaghat,39,19,20,0,0,0,0,0,0,,
322,MP,Madhya Pradesh,MP_Barwani,Barwani,130,22,104,4,0,0,0,0,0,,
323,MP,Madhya Pradesh,MP_Betul,Betul,80,32,48,0,0,0,0,0,0,,
324,MP,Madhya Pradesh,MP_Bhind,Bhind,287,97,190,0,0,0,0,0,0,,
325,MP,Madhya Pradesh,MP_Bhopal,Bhopal,3045,519,2417,109,0,0,0,0,0,,
326,MP,Madhya Pradesh,MP_Burhanpur,Burhanpur,405,14,368,23,0,0,0,0,0,,
327,MP,Madhya Pradesh,MP_Chhatarpur,Chhatarpur,59,4,55,0,0,0,0,0,0,,
328,MP,Madhya Pradesh,MP_Chhindwara,Chhindwara,66,30,34,2,0,0,0,0,0,,
329,MP,Madhya Pradesh,MP_Damoh,Damoh,52,20,32,0,0,0,0,0,0,,
330,MP,Madhya Pradesh,MP_Datia,Datia,47,26,20,1,0,0,0,0,0,,
331,MP,Madhya Pradesh,MP_Dewas,Dewas,238,36,192,10,0,0,0,0,0,,
332,MP,Madhya Pradesh,MP_Dhar,Dhar,181,16,157,8,0,0,0,0,0,,
333,MP,Madhya Pradesh,MP_Dindori,Dindori,31,1,30,0,0,0,0,0,0,,
335,MP,Madhya Pradesh,MP_Guna,Guna,24,12,11,1,0,0,0,0,0,,
336,MP,Madhya Pradesh,MP_Gwalior,Gwalior,528,206,319,3,0,0,0,0,0,,
337,MP,Madhya Pradesh,MP_Harda,Harda,43,15,25,3,0,0,0,0,0,,
338,MP,Madhya Pradesh,MP_Hoshangabad,Hoshangabad,42,1,38,3,0,0,0,0,0,,
339,MP,Madhya Pradesh,MP_Indore,Indore,4833,817,3772,244,0,0,0,0,0,,
340,MP,Madhya Pradesh,MP_Jabalpur,Jabalpur,437,74,349,14,0,0,0,0,0,,
341,MP,Madhya Pradesh,MP_Jhabua,Jhabua,21,6,14,1,0,0,0,0,0,,
342,MP,Madhya Pradesh,MP_Katni,Katni,26,10,13,3,0,0,0,0,0,,
334,MP,Madhya Pradesh,MP_Khandwa,Khandwa,335,49,269,17,0,0,0,0,0,,
368,MP,Madhya Pradesh,MP_Khargone,Khargone,313,35,263,15,0,0,0,0,0,,
343,MP,Madhya Pradesh,MP_Mandla,Mandla,6,0,5,1,0,0,0,0,0,,
344,MP,Madhya Pradesh,MP_Mandsaur,Mandsaur,131,26,96,9,0,0,0,0,0,,
345,MP,Madhya Pradesh,MP_Morena,Morena,654,420,229,5,0,0,0,0,0,,
346,MP,Madhya Pradesh,MP_Narsinghpur,Narsinghpur,32,4,28,0,0,0,0,0,0,,
347,MP,Madhya Pradesh,MP_Neemuch,Neemuch,454,21,426,7,0,0,0,0,0,,
348,MP,Madhya Pradesh,MP_Niwari,Niwari,11,3,8,0,0,0,0,0,0,,
0,MP,Madhya Pradesh,MP_Other Region,Other Region,0,0,0,0,0,0,0,0,0,,
349,MP,Madhya Pradesh,MP_Panna,Panna,55,22,33,0,0,0,0,0,0,,
350,MP,Madhya Pradesh,MP_Raisen,Raisen,112,3,104,5,0,0,0,0,0,,
351,MP,Madhya Pradesh,MP_Rajgarh,Rajgarh,104,33,65,6,0,0,0,0,0,,
352,MP,Madhya Pradesh,MP_Ratlam,Ratlam,175,26,143,6,0,0,0,0,0,,
353,MP,Madhya Pradesh,MP_Rewa,Rewa,66,23,42,1,0,0,0,0,0,,
354,MP,Madhya Pradesh,MP_Sagar,Sagar,415,89,304,22,0,0,0,0,0,,
355,MP,Madhya Pradesh,MP_Satna,Satna,43,16,25,2,0,0,0,0,0,,
356,MP,Madhya Pradesh,MP_Sehore,Sehore,22,10,10,2,0,0,0,0,0,,
357,MP,Madhya Pradesh,MP_Seoni,Seoni,15,4,11,0,0,0,0,0,0,,
358,MP,Madhya Pradesh,MP_Shahdol,Shahdol,24,7,17,0,0,0,0,0,0,,
359,MP,Madhya Pradesh,MP_Shajapur,Shajapur,69,16,50,3,0,0,0,0,0,,
360,MP,Madhya Pradesh,MP_Sheopur,Sheopur,85,15,68,2,0,0,0,0,0,,
361,MP,Madhya Pradesh,MP_Shivpuri,Shivpuri,52,19,33,0,0,0,0,0,0,,
362,MP,Madhya Pradesh,MP_Sidhi,Sidhi,21,2,18,1,0,0,0,0,0,,
363,MP,Madhya Pradesh,MP_Singrauli,Singrauli,20,6,14,0,0,0,0,0,0,,
364,MP,Madhya Pradesh,MP_Tikamgarh,Tikamgarh,63,39,23,1,0,0,0,0,0,,
365,MP,Madhya Pradesh,MP_Ujjain,Ujjain,866,15,780,71,0,0,0,0,0,,
366,MP,Madhya Pradesh,MP_Umaria,Umaria,11,1,9,1,0,0,0,0,0,,
367,MP,Madhya Pradesh,MP_Vidisha,Vidisha,58,16,42,0,0,0,0,0,0,,
432,MZ,Mizoram,MZ_Aizawl,Aizawl,53,21,32,0,0,0,0,0,0,,
433,MZ,Mizoram,MZ_Champhai,Champhai,10,2,8,0,0,0,0,0,0,,
729,MZ,Mizoram,MZ_Hnahthial,Hnahthial,0,0,0,0,0,0,0,0,0,,
730,MZ,Mizoram,MZ_Khawzawl,Khawzawl,3,0,3,0,0,0,0,0,0,,
434,MZ,Mizoram,MZ_Kolasib,Kolasib,11,0,11,0,0,0,0,0,0,,
435,MZ,Mizoram,MZ_Lawngtlai,Lawngtlai,12,4,8,0,0,0,0,0,0,,
436,MZ,Mizoram,MZ_Lunglei,Lunglei,49,3,46,0,0,0,0,0,0,,
437,MZ,Mizoram,MZ_Mamit,Mamit,20,10,10,0,0,0,0,0,0,,
438,MZ,Mizoram,MZ_Saiha,Saiha,22,13,9,0,0,0,0,0,0,,
728,MZ,Mizoram,MZ_Saitual,Saitual,3,0,3,0,0,0,0,0,0,,
439,MZ,Mizoram,MZ_Serchhip,Serchhip,3,0,3,0,0,0,0,0,0,,
0,NL,Nagaland,NL_Others,Others,46,46,0,0,0,0,0,0,0,,
440,NL,Nagaland,NL_Dimapur,Dimapur,99,70,29,0,0,0,0,0,0,,
441,NL,Nagaland,NL_Kiphire,Kiphire,4,4,0,0,0,0,0,0,0,,
442,NL,Nagaland,NL_Kohima,Kohima,52,38,14,0,0,0,0,0,0,,
443,NL,Nagaland,NL_Longleng,Longleng,2,2,0,0,0,0,0,0,0,,
444,NL,Nagaland,NL_Mokokchung,Mokokchung,2,2,0,0,0,0,0,0,0,,
445,NL,Nagaland,NL_Mon,Mon,67,67,0,0,0,0,0,0,0,,
446,NL,Nagaland,NL_Peren,Peren,250,234,16,0,0,0,0,0,0,,
447,NL,Nagaland,NL_Phek,Phek,10,9,1,0,0,0,0,0,0,,
448,NL,Nagaland,NL_Tuensang,Tuensang,30,30,0,0,0,0,0,0,0,,
449,NL,Nagaland,NL_Wokha,Wokha,10,10,0,0,0,0,0,0,0,,
450,NL,Nagaland,NL_Zunheboto,Zunheboto,6,6,0,0,0,0,0,0,0,,
0,OR,Odisha,OR_Others,Others,0,0,0,0,0,0,0,0,0,Includes NDRF-ODRF returnees after West Bengal Amphan duty,
451,OR,Odisha,OR_Angul,Angul,106,48,57,1,0,0,0,0,0,,
452,OR,Odisha,OR_Balangir,Balangir,216,51,165,0,0,0,0,0,0,,
453,OR,Odisha,OR_Balasore,Balasore,398,72,324,2,0,0,0,0,0,,
454,OR,Odisha,OR_Bargarh,Bargarh,133,65,67,1,0,0,0,0,0,,
456,OR,Odisha,OR_Bhadrak,Bhadrak,261,34,227,0,0,0,0,0,0,,
455,OR,Odisha,OR_Boudh,Boudh,45,5,40,0,0,0,0,0,0,,
457,OR,Odisha,OR_Cuttack,Cuttack,813,278,529,6,0,0,0,0,0,,
458,OR,Odisha,OR_Deogarh,Deogarh,62,20,42,0,0,0,0,0,0,,
459,OR,Odisha,OR_Dhenkanal,Dhenkanal,84,18,66,0,0,0,0,0,0,,
460,OR,Odisha,OR_Gajapati,Gajapati,461,147,313,1,0,0,0,0,0,,
461,OR,Odisha,OR_Ganjam,Ganjam,2182,843,1318,21,0,0,0,0,0,,
462,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,317,74,243,0,0,0,0,0,0,,
463,OR,Odisha,OR_Jajpur,Jajpur,566,166,400,0,0,0,0,0,0,,
464,OR,Odisha,OR_Jharsuguda,Jharsuguda,128,31,97,0,0,0,0,0,0,,
465,OR,Odisha,OR_Kalahandi,Kalahandi,78,8,70,0,0,0,0,0,0,,
466,OR,Odisha,OR_Kandhamal,Kandhamal,187,9,178,0,0,0,0,0,0,,
467,OR,Odisha,OR_Kendrapara,Kendrapara,269,37,232,0,0,0,0,0,0,,
468,OR,Odisha,OR_Kendujhar,Kendujhar,182,75,107,0,0,0,0,0,0,,
469,OR,Odisha,OR_Khordha,Khordha,971,220,742,9,0,0,0,0,0,,
470,OR,Odisha,OR_Koraput,Koraput,57,30,27,0,0,0,0,0,0,,
471,OR,Odisha,OR_Malkangiri,Malkangiri,112,59,53,0,0,0,0,0,0,,
472,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,259,79,179,1,0,0,0,0,0,,
473,OR,Odisha,OR_Nabarangapur,Nabarangapur,55,25,29,1,0,0,0,0,0,,
474,OR,Odisha,OR_Nayagarh,Nayagarh,188,53,135,0,0,0,0,0,0,,
475,OR,Odisha,OR_Nuapada,Nuapada,82,4,78,0,0,0,0,0,0,,
476,OR,Odisha,OR_Puri,Puri,299,76,221,2,0,0,0,0,0,,
477,OR,Odisha,OR_Rayagada,Rayagada,115,93,22,0,0,0,0,0,0,,
478,OR,Odisha,OR_Sambalpur,Sambalpur,83,36,47,0,0,0,0,0,0,,
479,OR,Odisha,OR_Subarnapur,Subarnapur,39,4,35,0,0,0,0,0,0,,
480,OR,Odisha,OR_Sundargarh,Sundargarh,322,140,181,1,0,0,0,0,0,,
485,PB,Punjab,PB_Amritsar,Amritsar,957,169,740,48,0,0,0,0,0,,
486,PB,Punjab,PB_Barnala,Barnala,71,28,41,2,0,0,0,0,0,,
487,PB,Punjab,PB_Bathinda,Bathinda,110,31,76,3,0,0,0,0,0,,
488,PB,Punjab,PB_Faridkot,Faridkot,119,19,100,0,0,0,0,0,0,,
489,PB,Punjab,PB_Fatehgarh Sahib,Fatehgarh Sahib,123,19,104,0,0,0,0,0,0,,
490,PB,Punjab,PB_Fazilka,Fazilka,103,27,76,0,0,0,0,0,0,,
491,PB,Punjab,PB_Ferozepur,Ferozepur,119,53,63,3,0,0,0,0,0,,
492,PB,Punjab,PB_Gurdaspur,Gurdaspur,249,51,193,5,0,0,0,0,0,,
493,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,186,18,161,7,0,0,0,0,0,,
494,PB,Punjab,PB_Jalandhar,Jalandhar,841,255,565,21,0,0,0,0,0,,
495,PB,Punjab,PB_Kapurthala,Kapurthala,109,25,79,5,0,0,0,0,0,,
496,PB,Punjab,PB_Ludhiana,Ludhiana,1079,485,570,24,0,0,0,0,0,,
497,PB,Punjab,PB_Mansa,Mansa,50,6,44,0,0,0,0,0,0,,
498,PB,Punjab,PB_Moga,Moga,121,24,93,4,0,0,0,0,0,,
499,PB,Punjab,PB_Pathankot,Pathankot,228,28,194,6,0,0,0,0,0,,
500,PB,Punjab,PB_Patiala,Patiala,379,184,185,10,0,0,0,0,0,,
501,PB,Punjab,PB_Rupnagar,Rupnagar,114,13,100,1,0,0,0,0,0,,
502,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,302,77,220,5,0,0,0,0,0,,
503,PB,Punjab,PB_Sangrur,Sangrur,535,148,373,14,0,0,0,0,0,,
504,PB,Punjab,PB_Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,148,22,125,1,0,0,0,0,0,,
505,PB,Punjab,PB_Sri Muktsar Sahib,Sri Muktsar Sahib,133,8,125,0,0,0,0,0,0,,
506,PB,Punjab,PB_Tarn Taran,Tarn Taran,207,21,181,5,0,0,0,0,0,,
481,PY,Puducherry,PY_Karaikal,Karaikal,45,19,26,0,0,0,0,0,0,,
482,PY,Puducherry,PY_Mahe,Mahe,18,8,10,0,0,0,0,0,0,,
483,PY,Puducherry,PY_Puducherry,Puducherry,869,443,412,14,0,0,0,0,0,,
484,PY,Puducherry,PY_Yanam,Yanam,14,14,0,0,0,0,0,0,0,,
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,600,114,465,21,0,1,-1,0,2,,
508,RJ,Rajasthan,RJ_Alwar,Alwar,715,369,340,6,0,12,12,0,0,,
509,RJ,Rajasthan,RJ_Banswara,Banswara,99,2,95,2,0,0,0,0,0,,
510,RJ,Rajasthan,RJ_Baran,Baran,71,7,60,4,0,0,0,0,0,,
511,RJ,Rajasthan,RJ_Barmer,Barmer,442,169,269,4,0,0,0,0,0,,
512,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,1796,215,1542,39,0,27,15,12,0,,
513,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,269,18,245,6,0,1,1,0,0,,
514,RJ,Rajasthan,RJ_Bikaner,Bikaner,492,300,175,17,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_BSF Camp,BSF Camp,53,3,50,0,0,0,0,0,0,,
515,RJ,Rajasthan,RJ_Bundi,Bundi,15,4,11,0,0,0,0,0,0,,
516,RJ,Rajasthan,RJ_Chittorgarh,Chittorgarh,211,2,203,6,0,0,0,0,0,,
517,RJ,Rajasthan,RJ_Churu,Churu,336,43,291,2,0,0,-19,19,0,,
518,RJ,Rajasthan,RJ_Dausa,Dausa,182,49,130,3,0,5,1,4,0,,
519,RJ,Rajasthan,RJ_Dholpur,Dholpur,768,165,593,10,0,0,0,0,0,,
520,RJ,Rajasthan,RJ_Dungarpur,Dungarpur,462,41,420,1,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_Evacuees,Evacuees,61,0,61,0,0,0,0,0,0,,
521,RJ,Rajasthan,RJ_Ganganagar,Ganganagar,60,26,31,3,0,0,0,0,0,,
522,RJ,Rajasthan,RJ_Hanumangarh,Hanumangarh,83,27,56,0,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_Italians,Italians,2,0,2,0,0,0,0,0,0,,
523,RJ,Rajasthan,RJ_Jaipur,Jaipur,3550,527,2860,163,0,24,24,0,0,,
524,RJ,Rajasthan,RJ_Jaisalmer,Jaisalmer,115,10,105,0,0,0,0,0,0,,
525,RJ,Rajasthan,RJ_Jalore,Jalore,392,137,253,2,0,0,0,0,0,,
526,RJ,Rajasthan,RJ_Jhalawar,Jhalawar,378,6,372,0,0,0,0,0,0,,
527,RJ,Rajasthan,RJ_Jhunjhunu,Jhunjhunu,409,46,360,3,0,8,6,2,0,,
528,RJ,Rajasthan,RJ_Jodhpur,Jodhpur,3005,431,2515,59,0,0,0,0,0,,
529,RJ,Rajasthan,RJ_Karauli,Karauli,110,22,84,4,0,0,0,0,0,,
530,RJ,Rajasthan,RJ_Kota,Kota,745,133,588,24,0,9,9,0,0,,
531,RJ,Rajasthan,RJ_Nagaur,Nagaur,727,116,599,12,0,1,1,0,0,,
0,RJ,Rajasthan,RJ_Other State,Other State,134,62,41,31,0,0,-1,0,1,,
532,RJ,Rajasthan,RJ_Pali,Pali,1215,169,1037,9,0,1,1,0,0,,
533,RJ,Rajasthan,RJ_Pratapgarh,Pratapgarh,139,124,14,1,0,0,0,0,0,,
534,RJ,Rajasthan,RJ_Rajsamand,Rajsamand,316,105,210,1,0,3,3,0,0,,
535,RJ,Rajasthan,RJ_Sawai Madhopur,Sawai Madhopur,112,22,83,7,0,3,3,0,0,,
536,RJ,Rajasthan,RJ_Sikar,Sikar,625,95,523,7,0,0,0,0,0,,
537,RJ,Rajasthan,RJ_Sirohi,Sirohi,581,159,415,7,0,0,0,0,0,,
538,RJ,Rajasthan,RJ_Tonk,Tonk,207,7,199,1,0,0,0,0,0,,
539,RJ,Rajasthan,RJ_Udaipur,Udaipur,786,114,668,4,0,4,4,0,0,,
540,SK,Sikkim,SK_East Sikkim,East Sikkim,65,51,14,0,0,0,0,0,0,,
541,SK,Sikkim,SK_North Sikkim,North Sikkim,1,0,1,0,0,0,0,0,0,,
542,SK,Sikkim,SK_South Sikkim,South Sikkim,38,12,26,0,0,0,0,0,0,,
543,SK,Sikkim,SK_West Sikkim,West Sikkim,21,10,11,0,0,0,0,0,0,,
0,TG,Telangana,TG_Foreign Evacuees,Foreign Evacuees,33,33,0,0,0,0,0,0,0,,
0,TG,Telangana,TG_Other State,Other State,250,250,0,0,0,0,0,0,0,,
576,TG,Telangana,TG_Adilabad,Adilabad,48,33,15,0,0,0,0,0,0,,
577,TG,Telangana,TG_Bhadradri Kothagudem,Bhadradri Kothagudem,43,39,4,0,0,0,0,0,0,,
